survtype,location_name,iso2_code,yearweek,week_end_date,indicator,age,value
primary care syndromic,Belgium,BE,2024-W21,2024-05-26,ARIconsultationrate,0-4,2157.9
primary care syndromic,Belgium,BE,2024-W21,2024-05-26,ARIconsultationrate,15-64,748.2
primary care syndromic,Belgium,BE,2024-W21,2024-05-26,ARIconsultationrate,5-14,979.6
primary care syndromic,Belgium,BE,2024-W21,2024-05-26,ARIconsultationrate,65+,787.4
primary care syndromic,Belgium,BE,2024-W21,2024-05-26,ARIconsultationrate,total,854.4
primary care syndromic,Belgium,BE,2024-W20,2024-05-19,ARIconsultationrate,0-4,1681.9
primary care syndromic,Belgium,BE,2024-W20,2024-05-19,ARIconsultationrate,15-64,704.8
primary care syndromic,Belgium,BE,2024-W20,2024-05-19,ARIconsultationrate,5-14,985.1
primary care syndromic,Belgium,BE,2024-W20,2024-05-19,ARIconsultationrate,65+,799.7
primary care syndromic,Belgium,BE,2024-W20,2024-05-19,ARIconsultationrate,total,806.0
primary care syndromic,Belgium,BE,2024-W19,2024-05-12,ARIconsultationrate,0-4,2077.9
primary care syndromic,Belgium,BE,2024-W19,2024-05-12,ARIconsultationrate,15-64,653.7
primary care syndromic,Belgium,BE,2024-W19,2024-05-12,ARIconsultationrate,5-14,1401.9
primary care syndromic,Belgium,BE,2024-W19,2024-05-12,ARIconsultationrate,65+,473.1
primary care syndromic,Belgium,BE,2024-W19,2024-05-12,ARIconsultationrate,total,777.0
primary care syndromic,Belgium,BE,2024-W18,2024-05-05,ARIconsultationrate,0-4,2735.9
primary care syndromic,Belgium,BE,2024-W18,2024-05-05,ARIconsultationrate,15-64,738.4
primary care syndromic,Belgium,BE,2024-W18,2024-05-05,ARIconsultationrate,5-14,1093.1
primary care syndromic,Belgium,BE,2024-W18,2024-05-05,ARIconsultationrate,65+,823.8
primary care syndromic,Belgium,BE,2024-W18,2024-05-05,ARIconsultationrate,total,897.5
primary care syndromic,Belgium,BE,2024-W17,2024-04-28,ARIconsultationrate,0-4,2497.3
primary care syndromic,Belgium,BE,2024-W17,2024-04-28,ARIconsultationrate,15-64,873.8
primary care syndromic,Belgium,BE,2024-W17,2024-04-28,ARIconsultationrate,5-14,1672.0
primary care syndromic,Belgium,BE,2024-W17,2024-04-28,ARIconsultationrate,65+,362.4
primary care syndromic,Belgium,BE,2024-W17,2024-04-28,ARIconsultationrate,total,951.2
primary care syndromic,Belgium,BE,2024-W16,2024-04-21,ARIconsultationrate,0-4,2483.6
primary care syndromic,Belgium,BE,2024-W16,2024-04-21,ARIconsultationrate,15-64,718.6
primary care syndromic,Belgium,BE,2024-W16,2024-04-21,ARIconsultationrate,5-14,1432.3
primary care syndromic,Belgium,BE,2024-W16,2024-04-21,ARIconsultationrate,65+,497.1
primary care syndromic,Belgium,BE,2024-W16,2024-04-21,ARIconsultationrate,total,849.4
primary care syndromic,Belgium,BE,2024-W15,2024-04-14,ARIconsultationrate,0-4,1872.0
