country,date,month,year,births
AT,2026-09-01,September,2026,6734.0
AT,2026-10-01,October,2026,6682.0
AT,2026-11-01,November,2026,6143.0
AT,2026-12-01,December,2026,6085.0
AT,2027-01-01,January,2027,6360.0
AT,2027-02-01,February,2027,5529.0
AT,2027-03-01,March,2027,6117.0
AT,2027-04-01,April,2027,6072.0
AT,2027-05-01,May,2027,6395.0
AT,2027-06-01,June,2027,6299.0
AT,2027-07-01,July,2027,7091.0
AT,2027-08-01,August,2027,6701.0
BE,2026-09-01,September,2026,9061.0
BE,2026-10-01,October,2026,9302.0
BE,2026-11-01,November,2026,8515.0
BE,2026-12-01,December,2026,8718.0
BE,2027-01-01,January,2027,9501.0
BE,2027-02-01,February,2027,8332.0
BE,2027-03-01,March,2027,8784.0
BE,2027-04-01,April,2027,9130.0
BE,2027-05-01,May,2027,9079.0
BE,2027-06-01,June,2027,9133.0
BE,2027-07-01,July,2027,9946.0
BE,2027-08-01,August,2027,9554.0
BG,2026-09-01,September,2026,4314.0
BG,2026-10-01,October,2026,4168.0
BG,2026-11-01,November,2026,3918.0
BG,2026-12-01,December,2026,4059.0
BG,2027-01-01,January,2027,4646.0
BG,2027-02-01,February,2027,3908.0
BG,2027-03-01,March,2027,4160.0
BG,2027-04-01,April,2027,4084.0
BG,2027-05-01,May,2027,4329.0
BG,2027-06-01,June,2027,4422.0
BG,2027-07-01,July,2027,4720.0
BG,2027-08-01,August,2027,4381.0
CY,2026-09-01,September,2026,838.0
CY,2026-10-01,October,2026,900.0
CY,2026-11-01,November,2026,853.0
CY,2026-12-01,December,2026,873.0
CY,2027-01-01,January,2027,824.0
CY,2027-02-01,February,2027,690.0
CY,2027-03-01,March,2027,711.0
CY,2027-04-01,April,2027,690.0
CY,2027-05-01,May,2027,706.0
CY,2027-06-01,June,2027,747.0
CY,2027-07-01,July,2027,868.0
CY,2027-08-01,August,2027,839.0
CZ,2026-09-01,September,2026,6949.0
CZ,2026-10-01,October,2026,6840.0
CZ,2026-11-01,November,2026,6462.0
CZ,2026-12-01,December,2026,6541.0
CZ,2027-01-01,January,2027,6586.0
CZ,2027-02-01,February,2027,5800.0
CZ,2027-03-01,March,2027,6253.0
CZ,2027-04-01,April,2027,6104.0
CZ,2027-05-01,May,2027,6268.0
CZ,2027-06-01,June,2027,6424.0
CZ,2027-07-01,July,2027,7648.0
CZ,2027-08-01,August,2027,7564.0
DE,2026-09-01,September,2026,59233.0
DE,2026-10-01,October,2026,58604.0
DE,2026-11-01,November,2026,55757.0
DE,2026-12-01,December,2026,54017.0
DE,2027-01-01,January,2027,54183.0
DE,2027-02-01,February,2027,48983.0
DE,2027-03-01,March,2027,53342.0
DE,2027-04-01,April,2027,51964.0
DE,2027-05-01,May,2027,54642.0
DE,2027-06-01,June,2027,53884.0
DE,2027-07-01,July,2027,59101.0
DE,2027-08-01,August,2027,59274.0
DK,2026-09-01,September,2026,5205.0
DK,2026-10-01,October,2026,4882.0
DK,2026-11-01,November,2026,4660.0
DK,2026-12-01,December,2026,4436.0
DK,2027-01-01,January,2027,4795.0
DK,2027-02-01,February,2027,4435.0
DK,2027-03-01,March,2027,4914.0
DK,2027-04-01,April,2027,4701.0
DK,2027-05-01,May,2027,5247.0
DK,2027-06-01,June,2027,5021.0
DK,2027-07-01,July,2027,5454.0
DK,2027-08-01,August,2027,5414.0
EE,2026-09-01,September,2026,794.0
EE,2026-10-01,October,2026,795.0
EE,2026-11-01,November,2026,766.0
EE,2026-12-01,December,2026,711.0
EE,2027-01-01,January,2027,719.0
EE,2027-02-01,February,2027,662.0
EE,2027-03-01,March,2027,805.0
EE,2027-04-01,April,2027,748.0
EE,2027-05-01,May,2027,784.0
EE,2027-06-01,June,2027,749.0
EE,2027-07-01,July,2027,867.0
EE,2027-08-01,August,2027,798.0
EL,2026-09-01,September,2026,5364.0
EL,2026-10-01,October,2026,6206.0
EL,2026-11-01,November,2026,5965.0
EL,2026-12-01,December,2026,5606.0
EL,2027-01-01,January,2027,5631.0
EL,2027-02-01,February,2027,5126.0
EL,2027-03-01,March,2027,5088.0
EL,2027-04-01,April,2027,4802.0
EL,2027-05-01,May,2027,5293.0
EL,2027-06-01,June,2027,5343.0
EL,2027-07-01,July,2027,6111.0
EL,2027-08-01,August,2027,5693.0
ES,2026-09-01,September,2026,28597.0
ES,2026-10-01,October,2026,28227.0
ES,2026-11-01,November,2026,26661.0
ES,2026-12-01,December,2026,26472.0
ES,2027-01-01,January,2027,26809.0
ES,2027-02-01,February,2027,24311.0
ES,2027-03-01,March,2027,26361.0
ES,2027-04-01,April,2027,25871.0
ES,2027-05-01,May,2027,25946.0
ES,2027-06-01,June,2027,25767.0
ES,2027-07-01,July,2027,27351.0
ES,2027-08-01,August,2027,27703.0
FI,2026-09-01,September,2026,3953.0
FI,2026-10-01,October,2026,4110.0
FI,2026-11-01,November,2026,3600.0
FI,2026-12-01,December,2026,3550.0
FI,2027-01-01,January,2027,3836.0
FI,2027-02-01,February,2027,3312.0
FI,2027-03-01,March,2027,3755.0
FI,2027-04-01,April,2027,3673.0
FI,2027-05-01,May,2027,3855.0
FI,2027-06-01,June,2027,3967.0
FI,2027-07-01,July,2027,4085.0
FI,2027-08-01,August,2027,4035.0
FR,2026-09-01,September,2026,53537.0
FR,2026-10-01,October,2026,55204.0
FR,2026-11-01,November,2026,53467.0
FR,2026-12-01,December,2026,54058.0
FR,2027-01-01,January,2027,54877.0
FR,2027-02-01,February,2027,49308.0
FR,2027-03-01,March,2027,53633.0
FR,2027-04-01,April,2027,51732.0
FR,2027-05-01,May,2027,53898.0
FR,2027-06-01,June,2027,54281.0
FR,2027-07-01,July,2027,57274.0
FR,2027-08-01,August,2027,55452.0
HR,2026-09-01,September,2026,3087.0
HR,2026-10-01,October,2026,3034.0
HR,2026-11-01,November,2026,2662.0
HR,2026-12-01,December,2026,2747.0
HR,2027-01-01,January,2027,2960.0
HR,2027-02-01,February,2027,2233.0
HR,2027-03-01,March,2027,2655.0
HR,2027-04-01,April,2027,2423.0
HR,2027-05-01,May,2027,2394.0
HR,2027-06-01,June,2027,2557.0
HR,2027-07-01,July,2027,2972.0
HR,2027-08-01,August,2027,2791.0
HU,2026-09-01,September,2026,6290.0
HU,2026-10-01,October,2026,6050.0
