country,total_doses,population,coverage,target_group,scenario
Belgium,1653959,3141177,52.65414524555604,Age60+,higher_vax_coverage
Bulgaria,9517,1937342,0.49126070667956406,Age60+,higher_vax_coverage
Cyprus,5422,265484,2.0424018019918337,Age60+,higher_vax_coverage
Czechia,355708,2787785,12.75954924787959,Age60+,higher_vax_coverage
Germany,4395907,25488000,17.246967984934084,Age60+,higher_vax_coverage
Estonia,13211,363014,3.6393086768003435,Age60+,higher_vax_coverage
Greece,316642,3091550,10.242181106564667,Age60+,higher_vax_coverage
Spain,6709531,13173444,50.93224862078587,Age60+,higher_vax_coverage
Finland,947030,1677409,56.457950923120116,Age60+,higher_vax_coverage
Hungary,6464,2558799,0.2526243757325214,Age60+,higher_vax_coverage
Ireland,151889,1069965,14.195763412821913,Age60+,higher_vax_coverage
Iceland,7016,81409,8.61839600044221,Age60+,higher_vax_coverage
Liechtenstein,706,11070,6.378500451671183,Age60+,higher_vax_coverage
Luxembourg,5166,142118,3.635675987559633,Age60+,higher_vax_coverage
Malta,757,136895,0.5535994740494539,Age60+,higher_vax_coverage
Netherlands,2838075,4895379,57.97458787154171,Age60+,higher_vax_coverage
Norway,705031,1357981,51.917637286530514,Age60+,higher_vax_coverage
Poland,104256,10110347,1.0311881481417007,Age60+,higher_vax_coverage
Portugal,1949261,3116361,62.54928424531047,Age60+,higher_vax_coverage
Sweden,2036399,2769600,73.52683781051414,Age60+,higher_vax_coverage
Slovenia,11466,603426,1.9002578609473242,Age60+,higher_vax_coverage
Slovakia,21671,1334024,1.6245397384155007,Age60+,higher_vax_coverage
Lithuania,47466,790070,6.007853734479222,Age60+,higher_vax_coverage
Italy,735115,18789194,3.9124384473330784,Age60+,higher_vax_coverage
Denmark,296941,1600461,18.553498023382012,Age60+,higher_vax_coverage
France,5553895,18384127,30.210273786729168,Age60+,higher_vax_coverage
Romania,92,4731298,0.0019444981060165731,Age60+,higher_vax_coverage
Belgium,1222492,3141177,38.918281268454464,Age60+,lower_vax_coverage
Bulgaria,7034,1937342,0.36310573971967774,Age60+,lower_vax_coverage
Cyprus,4007,265484,1.5096013319070076,Age60+,lower_vax_coverage
Czechia,262915,2787785,9.430971183215348,Age60+,lower_vax_coverage
Germany,3249148,25488000,12.747758945386064,Age60+,lower_vax_coverage
Estonia,9764,363014,2.689923804591558,Age60+,lower_vax_coverage
Greece,234039,3091550,7.570307774417364,Age60+,lower_vax_coverage
Spain,4959218,13173444,37.64557506753739,Age60+,lower_vax_coverage
Finland,699979,1677409,41.72978981274096,Age60+,lower_vax_coverage
Hungary,4777,2558799,0.18672236467186362,Age60+,lower_vax_coverage
Ireland,112266,1069965,10.49252078339011,Age60+,lower_vax_coverage
Iceland,5185,81409,6.370118782935546,Age60+,lower_vax_coverage
Liechtenstein,521,11070,4.714543812104788,Age60+,lower_vax_coverage
Luxembourg,3819,142118,2.687238773413642,Age60+,lower_vax_coverage
Malta,560,136895,0.4091822199495964,Age60+,lower_vax_coverage
Netherlands,2097708,4895379,42.85078233983518,Age60+,lower_vax_coverage
Norway,521110,1357981,38.373905820479074,Age60+,lower_vax_coverage
Poland,77059,10110347,0.7621825442786484,Age60+,lower_vax_coverage
Portugal,1440758,3116361,46.23207965957731,Age60+,lower_vax_coverage
Sweden,1505164,2769600,54.345923599075675,Age60+,lower_vax_coverage
Slovenia,8475,603426,1.4045384189610657,Age60+,lower_vax_coverage
Slovakia,16018,1334024,1.2007467631766746,Age60+,lower_vax_coverage
Lithuania,35083,790070,4.440587542875948,Age60+,lower_vax_coverage
Italy,543346,18789194,2.891802330637493,Age60+,lower_vax_coverage
Denmark,219478,1600461,13.713455060760618,Age60+,lower_vax_coverage
France,4105052,18384127,22.329332798886778,Age60+,lower_vax_coverage
Romania,68,4731298,0.0014372377305339886,Age60+,lower_vax_coverage
Belgium,0,3141177,0.0,Age60+,no_vaccination
Bulgaria,0,1937342,0.0,Age60+,no_vaccination
Cyprus,0,265484,0.0,Age60+,no_vaccination
Czechia,0,2787785,0.0,Age60+,no_vaccination
Germany,0,25488000,0.0,Age60+,no_vaccination
Estonia,0,363014,0.0,Age60+,no_vaccination
Greece,0,3091550,0.0,Age60+,no_vaccination
Spain,0,13173444,0.0,Age60+,no_vaccination
Finland,0,1677409,0.0,Age60+,no_vaccination
Hungary,0,2558799,0.0,Age60+,no_vaccination
Ireland,0,1069965,0.0,Age60+,no_vaccination
Iceland,0,81409,0.0,Age60+,no_vaccination
Liechtenstein,0,11070,0.0,Age60+,no_vaccination
Luxembourg,0,142118,0.0,Age60+,no_vaccination
Malta,0,136895,0.0,Age60+,no_vaccination
Netherlands,0,4895379,0.0,Age60+,no_vaccination
Norway,0,1357981,0.0,Age60+,no_vaccination
Poland,0,10110347,0.0,Age60+,no_vaccination
Portugal,0,3116361,0.0,Age60+,no_vaccination
Sweden,0,2769600,0.0,Age60+,no_vaccination
Slovenia,0,603426,0.0,Age60+,no_vaccination
Slovakia,0,1334024,0.0,Age60+,no_vaccination
Lithuania,0,790070,0.0,Age60+,no_vaccination
Italy,0,18789194,0.0,Age60+,no_vaccination
Denmark,0,1600461,0.0,Age60+,no_vaccination
France,0,18384127,0.0,Age60+,no_vaccination
Romania,0,4731298,0.0,Age60+,no_vaccination
