country,age_group,population
Austria,0-2mo,20859
Austria,3-5mo,19589
Austria,6-11mo,40855
Austria,1-4y,350169
Austria,5-64y,6892596
Austria,65+y,1780703
Belgium,0-2mo,29686
Belgium,3-5mo,28639
Belgium,6-11mo,56205
Belgium,1-4y,482280
Belgium,5-64y,8835097
Belgium,65+y,2310888
Bulgaria,0-2mo,14999
Bulgaria,3-5mo,13920
Bulgaria,6-11mo,27605
Bulgaria,1-4y,229534
Bulgaria,5-64y,4646267
Bulgaria,65+y,1515383
Croatia,0-2mo,8834
Croatia,3-5mo,7999
Croatia,6-11mo,17101
Croatia,1-4y,141402
Croatia,5-64y,2799853
Croatia,65+y,875703
Cyprus,0-2mo,2579
Cyprus,3-5mo,2450
Cyprus,6-11mo,5322
Cyprus,1-4y,39751
Cyprus,5-64y,734512
Cyprus,65+y,164468
Czechia,0-2mo,26233
Czechia,3-5mo,25090
Czechia,6-11mo,50595
Czechia,1-4y,460626
Czechia,5-64y,8057135
Czechia,65+y,2207849
Denmark,0-2mo,15624
Denmark,3-5mo,14487
Denmark,6-11mo,28627
Denmark,1-4y,251936
Denmark,5-64y,4408649
Denmark,65+y,1213329
Estonia,0-2mo,3152
Estonia,3-5mo,2970
Estonia,6-11mo,5694
Estonia,1-4y,57826
Estonia,5-64y,1019788
Estonia,65+y,276453
Finland,0-2mo,11868
Finland,3-5mo,11074
Finland,6-11mo,22030
Finland,1-4y,193308
Finland,5-64y,4031177
Finland,65+y,1294511
France,0-2mo,171670
France,3-5mo,164019
France,6-11mo,341125
France,1-4y,2845641
France,5-64y,50327983
France,65+y,14426771
Germany,0-2mo,188134
Germany,3-5mo,174277
Germany,6-11mo,362298
Germany,1-4y,3140037
Germany,5-64y,60763549
Germany,65+y,18490204
Greece,0-2mo,19558
Greece,3-5mo,17443
Greece,6-11mo,39239
Greece,1-4y,327615
Greece,5-64y,7613035
Greece,65+y,2397091
Hungary,0-2mo,23341
Hungary,3-5mo,21155
Hungary,6-11mo,44973
Hungary,1-4y,373732
Hungary,5-64y,7165009
Hungary,65+y,1971532
Iceland,0-2mo,1179
Iceland,3-5mo,1097
Iceland,6-11mo,2143
Iceland,1-4y,18618
Iceland,5-64y,306427
Iceland,65+y,58292
Ireland,0-2mo,14435
Ireland,3-5mo,13643
Ireland,6-11mo,27659
Ireland,1-4y,242268
Ireland,5-64y,4172873
Ireland,65+y,800515
Italy,0-2mo,100970
Italy,3-5mo,88674
Italy,6-11mo,204274
Italy,1-4y,1691324
Italy,5-64y,42730660
Italy,65+y,14181297
Latvia,0-2mo,4246
Latvia,3-5mo,3971
Latvia,6-11mo,7570
Latvia,1-4y,74457
Latvia,5-64y,1397845
Latvia,65+y,394918
Liechtenstein,0-2mo,101
Liechtenstein,3-5mo,87
Liechtenstein,6-11mo,181
Liechtenstein,1-4y,1536
Liechtenstein,5-64y,29976
Liechtenstein,65+y,7795
Lithuania,0-2mo,5884
Lithuania,3-5mo,5544
Lithuania,6-11mo,11042
Lithuania,1-4y,105044
Lithuania,5-64y,2158097
Lithuania,65+y,571666
Luxembourg,0-2mo,1551
Luxembourg,3-5mo,1638
Luxembourg,6-11mo,3286
Luxembourg,1-4y,27595
Luxembourg,5-64y,528518
Luxembourg,65+y,98220
Malta,0-2mo,1024
Malta,3-5mo,1028
Malta,6-11mo,2272
Malta,1-4y,18188
Malta,5-64y,418787
Malta,65+y,100750
Netherlands,0-2mo,44106
Netherlands,3-5mo,41321
Netherlands,6-11mo,82200
Netherlands,1-4y,700526
Netherlands,5-64y,13341969
Netherlands,65+y,3601167
Norway,0-2mo,14483
Norway,3-5mo,13424
Norway,6-11mo,24083
Norway,1-4y,225794
Norway,5-64y,4199738
Norway,65+y,1011461
Poland,0-2mo,75676
Poland,3-5mo,72408
Poland,6-11mo,151452
Poland,1-4y,1445966
Poland,5-64y,27697346
Poland,65+y,7310886
Portugal,0-2mo,21189
Portugal,3-5mo,20537
Portugal,6-11mo,42105
Portugal,1-4y,344668
Portugal,5-64y,7577216
Portugal,65+y,2510904
Romania,0-2mo,44987
Romania,3-5mo,42339
Romania,6-11mo,89769
Romania,1-4y,778095
Romania,5-64y,14345021
Romania,65+y,3754335
Slovakia,0-2mo,13861
Slovakia,3-5mo,12968
Slovakia,6-11mo,26312
Slovakia,1-4y,234775
Slovakia,5-64y,4171806
Slovakia,65+y,969068
Slovenia,0-2mo,4692
Slovenia,3-5mo,4171
Slovenia,6-11mo,8719
Slovenia,1-4y,78219
Slovenia,5-64y,1567461
Slovenia,65+y,453708
Spain,0-2mo,83506
Spain,3-5mo,79112
Spain,6-11mo,167349
Spain,1-4y,1456438
Spain,5-64y,36611179
Spain,65+y,9687776
Sweden,0-2mo,27709
Sweden,3-5mo,27603
Sweden,6-11mo,49873
Sweden,1-4y,471181
Sweden,5-64y,7798052
Sweden,65+y,2147137
