DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Andorra,2019,76177,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Albania,2015,2885796,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Albania,2016,2875592,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Albania,2017,2876591,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Albania,2018,2870324,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Albania,2019,2862427,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Albania,2020,2845955,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Albania,2021,2829741,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Albania,2022,2793592,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Albania,2023,2761785,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Armenia,2015,3010598,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Armenia,2016,2998577,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Armenia,2017,2986151,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Armenia,2018,2972732,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Armenia,2019,2965269,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Armenia,2020,2959694,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Armenia,2021,2963251,,
ESTAT:DEMO_PJAN(1.0),23/05/25 23:00:00,Annual,Number,Total,Total,Armenia,2023,2977130,,
