start_date,end_date,week,year,year_week,horizon
2025-09-01,2025-09-07,36,2025,2025-W36,1
2025-09-08,2025-09-14,37,2025,2025-W37,2
2025-09-15,2025-09-21,38,2025,2025-W38,3
2025-09-22,2025-09-28,39,2025,2025-W39,4
2025-09-29,2025-10-05,40,2025,2025-W40,5
2025-10-06,2025-10-12,41,2025,2025-W41,6
2025-10-13,2025-10-19,42,2025,2025-W42,7
2025-10-20,2025-10-26,43,2025,2025-W43,8
2025-10-27,2025-11-02,44,2025,2025-W44,9
2025-11-03,2025-11-09,45,2025,2025-W45,10
2025-11-10,2025-11-16,46,2025,2025-W46,11
2025-11-17,2025-11-23,47,2025,2025-W47,12
2025-11-24,2025-11-30,48,2025,2025-W48,13
2025-12-01,2025-12-07,49,2025,2025-W49,14
2025-12-08,2025-12-14,50,2025,2025-W50,15
2025-12-15,2025-12-21,51,2025,2025-W51,16
2025-12-22,2025-12-28,52,2025,2025-W52,17
2025-12-29,2026-01-04,1,2026,2026-W01,18
2026-01-05,2026-01-11,2,2026,2026-W02,19
2026-01-12,2026-01-18,3,2026,2026-W03,20
2026-01-19,2026-01-25,4,2026,2026-W04,21
2026-01-26,2026-02-01,5,2026,2026-W05,22
2026-02-02,2026-02-08,6,2026,2026-W06,23
2026-02-09,2026-02-15,7,2026,2026-W07,24
2026-02-16,2026-02-22,8,2026,2026-W08,25
2026-02-23,2026-03-01,9,2026,2026-W09,26
2026-03-02,2026-03-08,10,2026,2026-W10,27
2026-03-09,2026-03-15,11,2026,2026-W11,28
2026-03-16,2026-03-22,12,2026,2026-W12,29
2026-03-23,2026-03-29,13,2026,2026-W13,30
2026-03-30,2026-04-05,14,2026,2026-W14,31
2026-04-06,2026-04-12,15,2026,2026-W15,32
2026-04-13,2026-04-19,16,2026,2026-W16,33
2026-04-20,2026-04-26,17,2026,2026-W17,34
2026-04-27,2026-05-03,18,2026,2026-W18,35
2026-05-04,2026-05-10,19,2026,2026-W19,36
2026-05-11,2026-05-17,20,2026,2026-W20,37
2026-05-18,2026-05-24,21,2026,2026-W21,38
2026-05-25,2026-05-31,22,2026,2026-W22,39
2026-06-01,2026-06-07,23,2026,2026-W23,40
2026-06-08,2026-06-14,24,2026,2026-W24,41
2026-06-15,2026-06-21,25,2026,2026-W25,42
2026-06-22,2026-06-28,26,2026,2026-W26,43
2026-06-29,2026-07-05,27,2026,2026-W27,44
2026-07-06,2026-07-12,28,2026,2026-W28,45
2026-07-13,2026-07-19,29,2026,2026-W29,46
2026-07-20,2026-07-26,30,2026,2026-W30,47
2026-07-27,2026-08-02,31,2026,2026-W31,48
2026-08-03,2026-08-09,32,2026,2026-W32,49
2026-08-10,2026-08-16,33,2026,2026-W33,50
2026-08-17,2026-08-23,34,2026,2026-W34,51
2026-08-24,2026-08-30,35,2026,2026-W35,52
