country,age_group,target_end_date,year_week,week,year,weekly_rsv_hospitalisations
Austria,total,2025-09-07,2025-W36,36,2025,9
Austria,total,2025-09-14,2025-W37,37,2025,9
Austria,total,2025-09-21,2025-W38,38,2025,12
Austria,total,2025-09-28,2025-W39,39,2025,21
Austria,total,2025-10-05,2025-W40,40,2025,32
Austria,total,2025-10-12,2025-W41,41,2025,57
Austria,total,2025-10-19,2025-W42,42,2025,83
Austria,total,2025-10-26,2025-W43,43,2025,132
Austria,total,2025-11-02,2025-W44,44,2025,186
Austria,total,2025-11-09,2025-W45,45,2025,257
Austria,total,2025-11-16,2025-W46,46,2025,340
Austria,total,2025-11-23,2025-W47,47,2025,400
Austria,total,2025-11-30,2025-W48,48,2025,470
Austria,total,2025-12-07,2025-W49,49,2025,479
Austria,total,2025-12-14,2025-W50,50,2025,496
Austria,total,2025-12-21,2025-W51,51,2025,461
Austria,total,2025-12-28,2025-W52,52,2025,414
Austria,total,2026-01-04,2026-W1,1,2026,366
Austria,total,2026-01-11,2026-W2,2,2026,280
Austria,total,2026-01-18,2026-W3,3,2026,216
Austria,total,2026-01-25,2026-W4,4,2026,197
Austria,total,2026-02-01,2026-W5,5,2026,171
Austria,total,2026-02-08,2026-W6,6,2026,146
Austria,total,2026-02-15,2026-W7,7,2026,131
Austria,total,2026-02-22,2026-W8,8,2026,123
Austria,total,2026-03-01,2026-W9,9,2026,106
Austria,total,2026-03-08,2026-W10,10,2026,89
Austria,total,2026-03-15,2026-W11,11,2026,80
Austria,total,2026-03-22,2026-W12,12,2026,64
Austria,total,2026-03-29,2026-W13,13,2026,60
Austria,total,2026-04-05,2026-W14,14,2026,49
Austria,total,2026-04-12,2026-W15,15,2026,41
Austria,total,2026-04-19,2026-W16,16,2026,35
Austria,total,2026-04-26,2026-W17,17,2026,28
Austria,total,2026-05-03,2026-W18,18,2026,27
Belgium,total,2025-09-07,2025-W36,36,2025,13
Belgium,total,2025-09-14,2025-W37,37,2025,15
Belgium,total,2025-09-21,2025-W38,38,2025,21
Belgium,total,2025-09-28,2025-W39,39,2025,35
Belgium,total,2025-10-05,2025-W40,40,2025,51
Belgium,total,2025-10-12,2025-W41,41,2025,85
Belgium,total,2025-10-19,2025-W42,42,2025,129
Belgium,total,2025-10-26,2025-W43,43,2025,200
Belgium,total,2025-11-02,2025-W44,44,2025,278
Belgium,total,2025-11-09,2025-W45,45,2025,383
Belgium,total,2025-11-16,2025-W46,46,2025,503
Belgium,total,2025-11-23,2025-W47,47,2025,596
Belgium,total,2025-11-30,2025-W48,48,2025,697
Belgium,total,2025-12-07,2025-W49,49,2025,708
Belgium,total,2025-12-14,2025-W50,50,2025,736
Belgium,total,2025-12-21,2025-W51,51,2025,685
Belgium,total,2025-12-28,2025-W52,52,2025,617
Belgium,total,2026-01-04,2026-W1,1,2026,543
Belgium,total,2026-01-11,2026-W2,2,2026,416
Belgium,total,2026-01-18,2026-W3,3,2026,325
Belgium,total,2026-01-25,2026-W4,4,2026,294
Belgium,total,2026-02-01,2026-W5,5,2026,255
Belgium,total,2026-02-08,2026-W6,6,2026,220
Belgium,total,2026-02-15,2026-W7,7,2026,194
Belgium,total,2026-02-22,2026-W8,8,2026,185
Belgium,total,2026-03-01,2026-W9,9,2026,162
Belgium,total,2026-03-08,2026-W10,10,2026,133
Belgium,total,2026-03-15,2026-W11,11,2026,118
